Category,Abbrev_Journal,ISSN,Cites2011,JIF,JIF_5yr,Immediacy,Articles_2011,Half_Life,Eigenfactor,AI,,,Query,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate
Ecology,EVOL ECOL RES,1522-0613,1719,1.029,1.521,0.125,32,7.5,0.00489,0.668,,Kept type Citation because appear to be the real articles,Evolutionary Ecology Research from 2007 to 2011: all,340,2268,7,324,6.67,981.09,156.45,2.74,20,31,16,6.67,12,394.93,19.87,169.81,19.21,14.9,4/14/13
Ecology,EVOLUTION,0014-3820,29505,5.146,5.613,0.905,285,10,0.05569,2.431,,,Evolution from 2007 to 2011: all,991,28166,7,4023.71,28.42,12470.45,427.3,2.93,64,89,50,23.27,39,5296.27,72.78,2330.4,47.86,50.68,4/14/13
Ecology,FRONT ECOL ENVIRON,1540-9295,3745,9.113,9.023,1.519,54,4.6,0.0197,4.085,,,Frontiers in Ecology and the Environment from 2007 to 2011: all,540,13600,7,1942.86,25.19,5058.86,298.67,2.6,60,99,51,18.37,31,2460.21,49.6,891.99,66.45,36.95,4/14/13
Ecology,FUNCT ECOL,0269-8463,8946,4.567,4.85,1.25,140,8.1,0.02367,1.938,,,Functional ecology from 2007 to 2011: all,692,15459,7,2208.43,22.34,5926.09,263.58,3.14,51,77,44,17.94,31,2998.58,54.76,1155.63,46.78,38.65,4/14/13
Ecology,FUNGAL ECOL,1754-5048,288,2.507,2.489,0.843,51,2.1,0.00107,0.666,,,Fungal ecology from 2007 to 2011: all,140,1344,6,224,9.6,462.6,49.35,3.42,18,26,20,4.98,9,336.43,18.34,112.47,15.36,11.78,4/14/13
Ecology,GLOBAL CHANGE BIOL,1354-1013,16313,6.862,8.036,1.534,292,5.4,0.06455,3.188,,,Global Change Biology from 2007 to 2011: all,1000,40777,7,5825.29,40.78,12870.19,317.85,3.53,87,119,69,23.73,38,7996.65,89.42,2513.23,62.8,58.47,4/14/13
Ecology,GLOBAL ECOL BIOGEOGR,1466-822X,4418,5.145,6.629,1.474,78,5.4,0.01767,2.729,,,Global Ecology and Biogeography from 2007 to 2011: all,390,11942,7,1706,30.62,4938.96,152.77,3.14,54,83,44,18.34,31,2290.79,47.86,933.58,52.22,35.7,4/14/13
Ecology,HEREDITY,0018-067X,8712,4.597,4.523,1.091,154,9.6,0.01768,1.685,,,HEREDITY from 2007 to 2011: all,783,11778,7,1682.57,15.04,4829.29,330.51,3.26,46,66,36,15.45,28,2247.04,47.4,908.91,38.61,32.95,4/15/13
Ecology,INT J SUST DEV WORLD,1350-4509,510,0.965,0.922,0.397,63,5.2,0.00103,0.199,,,International Journal of Sustainable Development from 2007 to 2011: all,524,1248,7,178.29,2.38,631.81,302.72,2.38,13,17,12,5.28,9,278.4,16.69,139.46,8.94,9.83,4/15/13
Ecology,INTERCIENCIA,0378-1844,752,0.308,0.457,0.023,132,7.3,0.00133,0.112,,Kept type Citation because appear to be the real articles,INTERCIENCIA from 2007 to 2011: all,1000,1018,7,145.43,1.02,418.69,448.07,2.95,11,14,8,3.46,7,192.86,13.89,81.2,7,8.37,4/15/13
Ecology,ISME J,1751-7362,3899,7.375,7.85,1.787,178,2.6,0.02342,2.812,,,ISME Journal from 2007 to 2011: all,797,22657,7,3236.71,28.43,5876.49,215.62,4.3,66,96,56,15.23,30,4626.33,68.02,1182.45,56.69,40.93,4/15/13
Ecology,ISR J ECOL EVOL,1565-9801,122,0.388,0.925,1.111,9,3.8,0.00083,0.377,,,Israel Journal of ecology from 2007 to 2011: all,138,541,7,77.29,3.92,244.29,72.58,2.52,12,15,9,4.65,7,96.8,9.84,45.75,6.93,8.98,4/15/13
Ecology,J ANIM ECOL,0021-8790,11942,4.937,4.971,0.868,129,10,0.02574,2.067,,,journal of animal ecology from 2007 to 2011: all,707,15200,7,2171.43,21.5,5348.75,273.74,3.09,49,71,41,14.46,25,2962.8,54.43,1032.15,40.83,36.03,4/15/13
Ecology,J APPL ECOL,0021-8901,11471,5.045,5.804,0.925,161,7.8,0.02866,2.171,,,journal of applied ecology from 2007 to 2011: all,823,21235,7,3033.57,25.8,7488.37,295.03,3.24,63,87,46,18.72,31,4077.52,63.86,1427.56,48.58,43.77,4/15/13
